Timestamp,Latitude,Longitude,X,Y,Distance,LogDist,Azimuth,RouteID,CellID,Frequency_MHz,RSRP_dBm
2012-09-18 15:08:29,35.516924875616,24.024420478842,-9.29025339213742,954.109873573306,954.155102516441,2.97961897710647,90.5578765122368,2,60565,1876.6,-95
2012-09-22 17:51:39,35.51709785,24.02443555,-7.92453650535449,973.36538200021,973.397639793337,2.98829028887074,90.466456351876,2,60561,1861.6,-77
2012-11-18 16:31:48,35.517194283333,24.0244347,-8.00156173147114,984.100340629649,984.132869798349,2.99305373737916,90.4658525104407,2,60561,1861.6,-72
2012-09-22 17:51:20,35.51733355,24.024382716667,-12.7121828869645,999.603505999932,999.684334578225,2.99986288660708,90.7286040537098,2,60561,1861.6,-77
2012-09-19 11:09:29,35.510653,24.024549066667,2.36210696654528,255.92468000008,255.935580532416,2.40813066632772,89.4711923950021,1,60562,1860.2,-81
2012-09-24 12:19:36,35.510964587685,24.024589829932,6.05598897441098,290.610621094793,290.673714146222,2.46340575995274,88.8061950585168,1,60562,1860.2,-77
2012-09-21 12:18:47,35.511377669922,24.024574525431,4.66912703175456,336.594935717174,336.627318406702,2.5271493574861,89.2052639910082,1,60562,1860.2,-77
2013-03-14 10:47:32,35.512000193241,24.024584586418,5.58083267813857,405.894231588505,405.932596535686,2.60845392672299,89.2122627370866,1,60562,1860.2,-67
2013-03-14 10:45:38,35.512106847719,24.024501240224,-1.97182549158862,417.767008079015,417.771661479164,2.62093897733737,90.2704293002463,1,60562,1860.2,-67
2012-09-27 19:15:04,35.512689883333,24.024571266667,4.37382463860941,482.670532630234,482.690349407902,2.68366861590841,89.4808159683374,1,60563,1869.4,-75
2013-03-20 20:49:12,35.5128744,24.024564266667,3.73949924651132,503.210928000455,503.224822433963,2.70176205529138,89.5742270914965,1,60561,1861.6,-78
2012-10-02 20:18:37,35.514298383333,24.024478,-4.07780609201319,661.728752629803,661.741316950603,2.8206882514087,90.3530723433265,1,60561,1861.6,-79
2013-04-08 06:15:11,35.5152376,24.024573083333,4.53844712041712,766.282352000209,766.295791773149,2.88439644057076,89.6606592538318,2,60561,1861.6,-79
2012-11-18 16:30:55,35.516548933333,24.024476083333,-4.25149045570736,912.259978629737,912.269885385143,2.96012333876063,90.2670189440856,2,60565,1876.6,-81
2012-10-10 20:05:56,35.516849733333,24.0244588,-5.81767002433077,945.745034629513,945.762927911055,2.9757822865041,90.3524456619053,2,60561,1861.6,-81
